Week,Worldwide number of searches
2019-03-03,26
2019-03-10,24
2019-03-17,23
2019-03-24,24
2019-03-31,23
2019-04-07,23
2019-04-14,26
2019-04-21,24
2019-04-28,22
2019-05-05,21
2019-05-12,22
2019-05-19,21
2019-05-26,24
2019-06-02,24
2019-06-09,31
2019-06-16,29
2019-06-23,27
2019-06-30,27
2019-07-07,42
2019-07-14,35
2019-07-21,29
2019-07-28,29
2019-08-04,29
2019-08-11,28
2019-08-18,27
2019-08-25,26
2019-09-01,30
2019-09-08,27
2019-09-15,31
2019-09-22,33
2019-09-29,30
2019-10-06,29
2019-10-13,30
2019-10-20,30
2019-10-27,34
2019-11-03,40
2019-11-10,48
2019-11-17,61
2019-11-24,100
2019-12-01,68
2019-12-08,58
2019-12-15,62
2019-12-22,95
2019-12-29,59
2020-01-05,41
2020-01-12,33
2020-01-19,30
2020-01-26,30
2020-02-02,29
2020-02-09,28
2020-02-16,31
2020-02-23,30
2020-03-01,29
2020-03-08,31
2020-03-15,58
2020-03-22,82
2020-03-29,85
2020-04-05,80
2020-04-12,79
2020-04-19,69
2020-04-26,66
2020-05-03,59
2020-05-10,56
2020-05-17,53
2020-05-24,52
2020-05-31,48
2020-06-07,49
2020-06-14,48
2020-06-21,44
2020-06-28,45
2020-07-05,43
2020-07-12,42
2020-07-19,41
2020-07-26,40
2020-08-02,39
2020-08-09,36
2020-08-16,37
2020-08-23,37
2020-08-30,36
2020-09-06,34
2020-09-13,34
2020-09-20,34
2020-09-27,33
2020-10-04,33
2020-10-11,36
2020-10-18,34
2020-10-25,47
